No.,Time,Source,Destination,Protocol,Length,Frame,Time delta from previous displayed frame,Info,,,,,,,,,,,Time 2,Time 1,Delay,delay 2,delay 1,jitter
51,3.136908,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000565,"49989  >  443 [FIN, ACK] Seq=518 Ack=1 Win=66048 Len=0",,,,,,,,,,,3.137216,3.136908,0.000308,0.000572,0.000308,0.000264
52,3.137216,192.168.43.13,172.217.194.94,TLSv1.3,146,â\234\223,0.000308,Application Data,,,,,,,,,,,3.137788,3.137216,0.000572,0.000234,0.000572,-0.000338
53,3.137788,192.168.43.13,172.217.194.94,TLSv1.3,297,â\234\223,0.000572,Application Data,,,,,,,,,,,3.138022,3.137788,0.000234,0.000172,0.000234,-6.2E-05
54,3.138022,192.168.43.13,172.217.194.94,TLSv1.3,127,â\234\223,0.000234,Application Data,,,,,,,,,,,3.138194,3.138022,0.000172,0.000144,0.000172,-2.8E-05
55,3.138194,192.168.43.13,172.217.194.94,TLSv1.3,824,â\234\223,0.000172,Application Data,,,,,,,,,,,3.138338,3.138194,0.000144,0.028606,0.000144,0.028462
56,3.138338,192.168.43.13,172.217.194.94,TLSv1.3,390,â\234\223,0.000144,Application Data,,,,,,,,,,,3.166944,3.138338,0.028606,0.011005,0.028606,-0.017601
57,3.166944,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.028606,[TCP Window Update] 443  >  49989 [ACK] Seq=1 Ack=1 Win=22400 Len=0,,,,,,,,,,,3.177949,3.166944,0.011005,0.006503,0.011005,-0.004502
58,3.177949,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.011005,443  >  49989 [ACK] Seq=1 Ack=519 Win=22592 Len=0,,,,,,,,,,,3.184452,3.177949,0.006503,0.000223,0.006503,-0.00628
59,3.184452,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.006503,443  >  49988 [ACK] Seq=2672 Ack=674 Win=22752 Len=0,,,,,,,,,,,3.184675,3.184452,0.000223,0,0.000223,-0.000223
60,3.184675,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.000223,443  >  49988 [ACK] Seq=2672 Ack=917 Win=22976 Len=0,,,,,,,,,,,3.184675,3.184675,0,0.005248,0,0.005248
61,3.184675,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0,443  >  49988 [ACK] Seq=2672 Ack=990 Win=23040 Len=0,,,,,,,,,,,3.189923,3.184675,0.005248,0.000109,0.005248,-0.005139
62,3.189923,172.217.194.94,192.168.43.13,TLSv1.3,1422,â\234\223,0.005248,"Server Hello, Change Cipher Spec",,,,,,,,,,,3.190032,3.189923,0.000109,0.000407,0.000109,0.000298
63,3.190032,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000109,"49989  >  443 [RST, ACK] Seq=519 Ack=1369 Win=0 Len=0",,,,,,,,,,,3.190439,3.190032,0.000407,0,0.000407,-0.000407
64,3.190439,172.217.194.94,192.168.43.13,TLSv1.3,1356,â\234\223,0.000407,Application Data,,,,,,,,,,,3.190439,3.190439,0,0.014857,0,0.014857
65,3.190439,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0,"443  >  49989 [FIN, ACK] Seq=2671 Ack=519 Win=22592 Len=0",,,,,,,,,,,3.205296,3.190439,0.014857,0.000484,0.014857,-0.014373
66,3.205296,172.217.194.94,192.168.43.13,TLSv1.3,634,â\234\223,0.014857,"Application Data, Application Data",,,,,,,,,,,3.20578,3.205296,0.000484,8.7E-05,0.000484,-0.000397
67,3.20578,172.217.194.94,192.168.43.13,TLSv1.3,85,â\234\223,0.000484,Application Data,,,,,,,,,,,3.205867,3.20578,8.7E-05,0.000458,8.7E-05,0.000371
68,3.205867,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000087,49988  >  443 [ACK] Seq=2096 Ack=3283 Win=65536 Len=0,,,,,,,,,,,3.206325,3.205867,0.000458,0.000873,0.000458,0.000415
69,3.206325,192.168.43.13,172.217.194.94,TLSv1.3,85,â\234\223,0.000458,Application Data,,,,,,,,,,,3.207198,3.206325,0.000873,0.004691,0.000873,0.003818
